year	hsd	hsr	hvd	hvr
2016	194	241	61776554	63173815
2014	188	247	35624357	40081282
2012	201	234	59645531	58228253
2010	193	242	38980192	44827441
2008	257	178	65237840	52249491
2006	233	202	42338795	35857334
2004	202	232	52969786	55958144
2002	205	229	33795885	37332552
2000	212	221	46582167	46992383
1998	211	223	31490298	32237964
1996	207	226	43507586	43447962
1994	204	230	31609829	36569698
1992	258	176	48654189	43812063
1990	267	167	32463372	27596256
1988	260	175	43544565	37209219
1986	258	177	32447021	26533178
1984	253	182	42973494	38734908
1982	269	166	35284473	27704312
1980	243	192	39347947	37322627
1978	277	158	29317222	24464665
1976	292	143	41474890	31380535
1974	291	144	30054097	21271332
1972	242	192	37071352	33119664
1970	255	180	29080212	24352657
1968	243	192	33214994	32059047
1966	248	187	26934136	25521157
1964	295	140	37643960	27916576
1962	258	176	26860184	24160387
1960	262	175	35125032	28750866
1958	283	153	25604679	19931409
1956	234	201	30062042	28698083
1954	232	203	22366386	20016809
1952	213	221	28642537	28393794
1950	235	199	19991683	19735173
1948	263	171	24217516	20894960
1946	188	246	15491113	18422363
1944	242	191	23380045	21256035
1942	222	209	13181759	14271483
1940	267	162	24227821	21490392
1938	262	169	17715450	17274585
