year    esd esr evd evr dstates rstates
2016    227 304 65853514  62984828  30  20
2012    332 206 65915795  60933504  26  24
2008    365 173 69498516  59948323  28  22
2004    251 286 59028444  62040610  31  19
2000    266 271 50999897  50456002  30  20
1996    379 159 47401185  39197469  31  19
1992    370 168 44909806  39104550  32  18
1988    426 111 48886097  41809074  40  10
1984    13  525 37577352  54455472  1   49
1980    49  489 35480115  43903230  6   44
1976    297 240 40831881  39148634  23  27
1972    17  520 29173222  47168710  1   49
1968    191 301 31271839  31783783  13  32
1964    486 52  43127041  27175754  44  6
1960    303 219 34220984  34108157  22  26
1956    73  457 26028028  35579180  7   41
1952    89  442 27375090  34075529  9   39
1948    303 189 24179347  21991292  28  16
1944    432 99  25612916  22017929  36  12
1940    449 82  27313945  22347744  38  10
